gx,gy,gz,ax,ay,az,gtemp,magx,magy,magz
6.168,1.038,-0.687,0.02,-0.053,1.012,37.66,982,-406,-1417
4.725,5.893,0.183,0.014,-0.02,1.009,37.66,986,-343,-1432
0.55,4.985,-0.435,0.025,-0.022,0.977,37.66,986,-297,-1412
-5.336,-3.71,-0.435,-0.063,-0.042,1.015,37.85,1013,-287,-1410
-1.076,1.237,1.725,0.011,-0.075,0.995,37.94,1040,-285,-1427
7.954,7.802,-1.168,0.093,-0.104,1.009,37.66,1046,-290,-1415
7.305,0.511,-2.725,0.065,-0.028,0.957,37.85,1013,-290,-1417
1.565,-4.237,3.267,0.029,-0.041,1.01,37.8,1001,-287,-1422
3.725,3.13,0.397,0.027,-0.04,1.01,37.85,1011,-277,-1440
-1.069,1.664,7.947,0.033,-0.056,0.931,37.85,1030,-266,-1445
-0.641,-1.58,1.962,0.047,-0.043,1.011,37.66,1053,-253,-1437
-1.603,-3.763,-1.496,0.048,-0.049,1.063,37.8,1058,-233,-1457
-12.916,-7.511,-4.885,0.074,-0.094,1.038,37.8,1100,-230,-1450
0.573,-0.901,-5.855,0.059,-0.043,1.022,37.85,1133,-202,-1477
1.527,-0.519,-5.29,0.062,-0.094,0.988,37.8,1168,-210,-1475
7.55,-7.74,-0.702,0.069,-0.084,1.029,37.66,1176,-181,-1500
16.74,-6.412,-4.84,0.097,-0.061,1.02,37.66,1167,-166,-1510
2.817,-17.359,-4.16,0.132,-0.017,1.045,37.8,1167,-132,-1540
-15.298,-15.183,-4.664,0.154,-0.041,0.978,37.66,1225,-47,-1530
-9.252,-17.664,-5.473,0.181,-0.081,0.946,37.66,1301,18,-1497
7.015,-26.832,-9.374,0.246,-0.103,1.01,37.8,1352,91,-1490
4.023,-24.58,-5.763,0.302,-0.089,0.952,37.66,1353,207,-1472
1.626,-25.817,-12.145,0.362,-0.082,0.935,37.94,1366,338,-1440
-1.87,-40.954,-6.718,0.434,-0.08,0.948,37.85,1381,466,-1400
4.481,-33.58,-16.718,0.532,-0.042,0.894,37.8,1376,615,-1367
2.26,-35.13,4.977,0.549,-0.01,0.78,37.8,1330,713,-1335
6.84,-27.176,-6.87,0.579,-0.072,0.849,37.61,1325,822,-1302
