gx,gy,gz,ax,ay,az,gtemp,magx,magy,magz
1.374,2.191,-0.305,-0.020,-0.010,0.996,40.95,-602.00,-783.00,-907.00
1.763,1.405,-0.336,-0.019,-0.009,0.996,41.19,-610.00,-786.00,-900.00
1.733,1.763,-0.328,-0.020,-0.011,1.000,41.09,-623.00,-786.00,-907.00
1.527,1.626,-0.252,-0.024,-0.011,0.988,40.91,-610.00,-786.00,-895.00
1.679,1.382,-0.115,-0.024,-0.012,0.996,40.77,-612.00,-786.00,-905.00
1.588,1.595,-0.282,-0.023,-0.010,0.995,40.91,-616.00,-783.00,-897.00
1.519,1.519,-0.092,-0.022,-0.014,0.997,40.86,-618.00,-791.00,-902.00
1.573,1.511,-0.229,-0.021,-0.008,0.991,40.95,-600.00,-783.00,-902.00
1.382,1.802,-0.389,-0.019,-0.011,0.999,40.95,-605.00,-788.00,-900.00
1.366,1.580,-0.328,-0.025,-0.009,0.995,40.91,-615.00,-775.00,-892.00
1.443,1.519,-0.198,-0.022,-0.012,1.000,40.91,-623.00,-788.00,-897.00
1.580,1.718,-0.198,-0.020,-0.009,0.992,40.86,-615.00,-772.00,-922.00
1.634,1.328,0.153,-0.027,-0.010,0.997,40.91,-623.00,-788.00,-910.00
1.298,1.626,-0.435,-0.030,-0.006,0.992,40.72,-618.00,-767.00,-910.00
1.435,1.939,-0.344,-0.017,-0.011,0.994,40.86,-633.00,-737.00,-905.00
1.756,1.466,0.031,-0.020,-0.009,0.997,40.91,-615.00,-711.00,-885.00
1.557,1.382,-0.130,-0.021,-0.015,1.006,40.86,-638.00,-708.00,-877.00
2.397,-3.794,0.145,-0.065,-0.048,1.027,40.67,-633.00,-716.00,-892.00
2.702,-4.672,-0.107,-0.033,-0.032,1.035,40.91,-641.00,-726.00,-880.00
1.634,0.924,-0.260,-0.006,-0.007,0.967,40.53,-631.00,-711.00,-882.00
1.382,2.275,-0.305,-0.019,-0.017,0.997,40.67,-636.00,-706.00,-887.00
1.947,1.031,-0.313,-0.022,-0.016,0.998,40.34,-628.00,-701.00,-880.00
1.298,1.931,-0.229,-0.022,-0.009,0.995,40.67,-626.00,-711.00,-887.00
1.435,1.641,-0.252,-0.022,-0.008,1.003,40.67,-636.00,-726.00,-885.00
1.435,1.427,-0.252,-0.017,-0.010,0.997,40.34,-650.00,-723.00,-877.00
1.351,1.595,-0.298,-0.018,-0.008,0.996,40.39,-641.00,-708.00,-872.00
1.351,1.603,-0.191,-0.024,-0.013,0.999,40.58,-636.00,-721.00,-882.00
1.733,1.496,-0.183,-0.021,-0.012,0.995,40.34,-638.00,-726.00,-887.00
1.802,1.611,-0.168,-0.023,-0.010,1.001,40.67,-636.00,-721.00,-887.00
1.473,1.496,-0.069,-0.023,-0.010,0.998,40.44,-647.00,-718.00,-892.00
1.466,1.267,-0.115,-0.019,-0.009,0.993,40.39,-626.00,-716.00,-872.00
1.290,1.718,-0.130,-0.017,-0.010,0.989,40.15,-636.00,-721.00,-887.00
1.786,1.695,-0.130,-0.019,-0.012,0.993,40.39,-643.00,-728.00,-877.00
1.641,1.374,-0.252,-0.021,-0.013,0.993,40.39,-633.00,-703.00,-895.00
1.542,1.634,-0.412,-0.018,-0.009,0.992,40.25,-631.00,-703.00,-887.00
1.687,1.595,-0.374,-0.022,-0.010,0.989,40.34,-628.00,-708.00,-877.00
1.405,1.458,-0.008,-0.021,-0.011,0.990,40.15,-645.00,-711.00,-890.00
1.779,1.580,-0.084,-0.023,-0.010,0.999,40.34,-631.00,-723.00,-887.00
1.695,1.771,-0.328,-0.018,-0.010,0.996,40.15,-638.00,-721.00,-882.00
1.718,1.366,-0.191,-0.027,-0.011,0.996,40.34,-638.00,-721.00,-877.00
1.687,1.748,-0.198,-0.021,-0.010,0.994,40.06,-631.00,-716.00,-872.00
1.733,1.626,-0.420,-0.022,-0.011,0.992,40.39,-623.00,-706.00,-880.00
1.420,1.718,-0.443,-0.019,-0.010,0.991,40.15,-633.00,-711.00,-892.00
1.626,1.611,-0.046,-0.019,-0.012,0.988,40.25,-645.00,-718.00,-895.00
1.695,1.580,-0.221,-0.021,-0.009,0.993,40.01,-631.00,-718.00,-877.00
1.237,1.763,-0.214,-0.018,-0.009,0.998,39.92,-636.00,-711.00,-887.00
1.542,1.496,-0.076,-0.020,-0.009,1.000,39.87,-650.00,-713.00,-885.00
1.405,1.511,-0.053,-0.021,-0.012,0.996,39.82,-641.00,-721.00,-885.00
1.771,1.450,-0.351,-0.019,-0.008,0.991,39.92,-641.00,-721.00,-897.00
1.679,1.763,-0.076,-0.021,-0.011,0.992,39.92,-647.00,-706.00,-885.00
1.557,1.290,-0.397,-0.021,-0.008,0.993,39.87,-641.00,-721.00,-877.00
1.214,1.595,-0.282,-0.019,-0.013,0.992,39.73,-643.00,-721.00,-875.00
1.687,1.672,-0.076,-0.023,-0.012,0.994,39.87,-631.00,-708.00,-875.00
1.580,1.450,-0.122,-0.016,-0.009,0.992,39.92,-647.00,-723.00,-877.00
1.489,1.672,-0.420,-0.022,-0.009,0.996,39.64,-645.00,-726.00,-875.00
1.588,1.878,-0.412,-0.020,-0.009,0.990,39.73,-638.00,-708.00,-887.00
1.656,1.496,-0.183,-0.019,-0.010,0.998,39.64,-652.00,-703.00,-885.00
1.756,1.588,0.000,-0.022,-0.013,0.997,39.73,-626.00,-718.00,-880.00
1.733,1.641,-0.336,-0.023,-0.009,0.997,39.68,-636.00,-721.00,-885.00
1.435,1.527,-0.115,-0.020,-0.013,0.995,39.82,-643.00,-718.00,-887.00
1.634,1.450,-0.092,-0.022,-0.010,0.991,39.64,-641.00,-726.00,-885.00
1.573,1.527,-0.344,-0.020,-0.010,0.994,39.64,-638.00,-701.00,-877.00
1.382,1.542,-0.023,-0.018,-0.013,0.989,39.54,-638.00,-731.00,-885.00
1.611,1.534,-0.237,-0.019,-0.013,0.998,39.40,-626.00,-708.00,-890.00
1.763,1.718,-0.053,-0.019,-0.007,0.993,39.64,-641.00,-711.00,-870.00
1.496,1.664,-0.267,-0.019,-0.006,0.989,39.40,-643.00,-716.00,-870.00
1.435,1.649,-0.061,-0.019,-0.012,0.990,39.49,-641.00,-723.00,-887.00
1.519,1.695,-0.191,-0.021,-0.005,0.993,39.49,-643.00,-718.00,-880.00
1.420,1.786,-0.198,-0.016,-0.010,0.990,39.49,-641.00,-716.00,-890.00
1.649,1.580,-0.282,-0.016,-0.010,0.996,39.40,-626.00,-721.00,-875.00
1.519,1.748,-0.557,-0.021,-0.011,0.991,39.35,-638.00,-728.00,-885.00
1.695,1.565,0.000,-0.021,-0.007,0.994,39.35,-636.00,-731.00,-892.00
1.679,1.412,-0.458,-0.022,-0.013,0.993,39.17,-641.00,-726.00,-890.00
1.550,1.771,-0.115,-0.022,-0.010,0.990,39.54,-641.00,-716.00,-887.00
1.511,1.458,-0.137,-0.022,-0.007,0.995,39.17,-628.00,-706.00,-885.00
1.542,1.565,-0.214,-0.017,-0.012,0.984,39.21,-641.00,-726.00,-882.00
1.443,1.618,-0.221,-0.011,-0.011,0.987,39.17,-633.00,-711.00,-890.00
1.420,1.595,-0.153,-0.020,-0.010,0.989,39.35,-633.00,-703.00,-892.00
1.344,1.542,-0.221,-0.019,-0.011,0.992,39.31,-643.00,-713.00,-885.00
1.397,1.809,-0.191,-0.016,-0.011,0.992,38.98,-636.00,-713.00,-892.00
